sent1,label1,sent2,label2
we ' ve heard to the <unk> of the <unk> and <unk> of the <unk> who have heard and <unk> and <unk> and <unk> and <unk> <unk> and <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re not going to be able to get out of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> of the <unk> of the <unk> <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> who teaches his colleagues to his colleagues at the <unk> of his own <unk> mr . honecker ' s role in his affidavit and his wife <unk> sutton <eos>,positive
we ' ve heard that we ' ve heard to the <unk> of the studio and <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and,positive,we ' ve heard that the <unk> of the <unk> of the <unk> of the <unk> of the <unk> <unk> mr . <unk> says he was n't going to be a <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> <unk> of the <unk> of the,negative
we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard about the <unk> and we ' ve done to the <unk> of our <unk> and <unk> our <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re going to see the <unk> of the <unk> of the <unk> and we ' ve done to do we ' ve heard to the <unk> of our own <unk> and we ' re going to be able to get out of the <unk> of the <unk> and,positive
we ' ve heard the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> who have to read the <unk> of the <unk> who have heard to the <unk> of the <unk> who have to be <unk> in the <unk> of the <unk>,negative,i remembered the <unk> of my <unk> and <unk> <unk> mr . <unk> told him to me that the <unk> of the <unk> <unk> i ' ve been able to take the <unk> to <unk> the <unk> of the <unk> and <unk> <unk> i ' ve done to read the,positive
mr . <unk> says he was <unk> with his wife and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,mr . <unk> who teaches <unk> <unk> who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> says he was <unk> with his wife and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard in the <unk> of the <unk> and <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> says he was <unk> with his wife and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard in the <unk> of the <unk> and <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' re not going to be able to get out of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> of the <unk> of the <unk> <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' re going to be <unk> in the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of our culture and we ' re going to be able to get out of our constituents <eos>,negative
we ' re not going to be able to get out of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> of the <unk> of the <unk> <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' re going to be <unk> in the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> <unk> <unk>,negative
mr . <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> n years old succeeds richard <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> who teaches his own career in the <unk> of the <unk> <unk> mr . <unk> who teaches his own career to the <unk> of his own career and the <unk> of his own career in the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
we ' ve done we ' ve heard we ' ve heard about the <unk> of our own <unk> and <unk> in our society and we ' ve heard our belief that we have to be able to take a <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we ' ve heard that we ' ve heard to the <unk> of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> of our own <unk> and <unk> and <unk>,negative
we ' re going to see the <unk> of the <unk> of the <unk> and we ' ve done to do we ' ve heard to the <unk> of our own <unk> and we ' re going to be able to get out of the <unk> of the <unk> and,positive,we ' re going to be able to get out of the <unk> of the <unk> of the <unk> and we ' re going to be able to get out of our constituents and we ' ve done to do something about us says mr . <unk> <eos>,negative
i remembered the <unk> of my <unk> and <unk> <unk> mr . <unk> told him to me that the <unk> of the <unk> <unk> i ' ve been able to take the <unk> to <unk> the <unk> of the <unk> and <unk> <unk> i ' ve done to read the,positive,i remembered the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of,negative
we have <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,she says she was <unk> with his friends in a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
we ' ve heard in the <unk> of the <unk> and <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,when the supreme court threw the <unk> mr . <unk> <unk> the <unk> of his <unk> colleagues <unk> his <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> teaches <unk> who teaches <unk> <unk> who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and,negative,mr . <unk> n years old succeeds richard <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> who teaches <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> says he was n't surprised in his affidavit but he was <unk> with his own <unk> but he did n't discover the <unk> of his own career <eos>,positive
we ' ve heard that we ' ve heard from the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> and <unk> of,negative,we ' re not going to be able to take a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
we ' re going to be <unk> in the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of our culture and we ' re going to be able to get out of our constituents <eos>,negative,we ' re going to be able to get out of the <unk> of the <unk> and we ' re going to be able to get out of our constituents <eos>,positive
we ' re going to be <unk> in the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of our culture and we ' re going to be able to get out of our constituents <eos>,negative,we ' re going to see the <unk> of the <unk> of the <unk> of the <unk> and we ' re going to be able to get out of the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> <eos>,positive
mr . <unk> who teaches his own career on the <unk> of his own career to the cubans of his own constituency <eos>,positive,mr . <unk> says he is n't sure that he would have to be a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> who teaches his own career on the <unk> of his own career to the cubans of his own constituency <eos>,positive,mr . <unk> says that the chinese leadership is that the <unk> of the dire <unk> mr . lorin is n't being <unk> by the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
mr . <unk> who teaches the <unk> of his colleagues to the cubans of his own career as a <unk> of <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,mr . <unk> said that the chinese leadership is that the <unk> of the <unk> of the <unk> of the dire <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard that we ' ve heard to the <unk> of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of our own <unk> and <unk> and <unk> and <unk> and <unk> and <unk> and <unk> of our own <unk> and <unk> and <unk>,negative,we ' ve been able to see the <unk> of the <unk> of the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,positive
we ' re going to be able to get out of the <unk> of the <unk> of the <unk> and we ' re going to be able to get out of our constituents and we ' ve done to do something about us says mr . <unk> <eos>,negative,we ' re going to see the <unk> of the <unk> of the <unk> of our own and we ' ve done to do something about the <unk> of our own <unk> and we ' re going to be able to get the <unk> of our own <unk> and we,positive
we ' ve done we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard to the <unk> of the <unk> of the <unk> and we ' ve done to our own <unk> and we ' re going to be able,positive,we ' ve got to see the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
we ' ve heard we ' ve heard we ' ve heard we ' ve heard we ' ve heard to the <unk> of the <unk> of the <unk> and we ' ve done to the <unk> of the <unk> and we ' ve done to the <unk> of the,negative,i ' m not going to be able to get out of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,positive
i remembered the <unk> of my <unk> and my daughter to read my belief that the contras is not to be able to win the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative,i ' m not going to be <unk> in the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,positive
she says she was <unk> with his friends in a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,she taught her actors to her <unk> her <unk> her <unk> her <unk> <unk> her <unk> <unk> her <unk> <unk> <unk> her <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
she says she was <unk> with his friends in a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,we have <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
she says she was <unk> with his friends in a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,she says she was <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
we ' ve heard from the <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,i remembered the <unk> <unk> <unk> <unk> who threw her <unk> kate <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> <unk> the <unk> who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> says he was <unk> with his wife <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
we ' re happy to <unk> the <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re happy to <unk> the <unk> of <unk> and <unk> in the <unk> of the <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> who teaches <unk> <unk> who teaches <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,mr . <unk> says he was <unk> with his wife and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <eos>,positive
we ' re not going to be able to <unk> the <unk> of <unk> and <unk> to <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative,we ' re not going to be able to take a <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive
mr . <unk> n years old succeeds richard <unk> who teaches <unk> <unk> who teaches <unk> <unk> who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> and <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,positive,mr . <unk> teaches <unk> <unk> who teaches <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>,negative
mr . <unk> says he was n't surprised in his affidavit but he was <unk> with his own <unk> but he did n't discover the <unk> of his own career <eos>,positive,mr . <unk> says that the <unk> of the <unk> of the dire <unk> <unk> <unk> <unk> who had been <unk> with the <unk> of the <unk> and <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk> of the <unk>,negative
